game_id,genre
0cac92a7051ee382cee2f4a632c2bec5,Adventure
0cac92a7051ee382cee2f4a632c2bec5,RPG
ba1bb122ebf76767e330567259a01ff0,Adventure
ba1bb122ebf76767e330567259a01ff0,Brawler
ba1bb122ebf76767e330567259a01ff0,Indie
ba1bb122ebf76767e330567259a01ff0,RPG
c03680f8f4a6f70e1ceb98bec4b3f910,Adventure
c03680f8f4a6f70e1ceb98bec4b3f910,RPG
1027399473d2674e3854814eca3fb0a6,Adventure
1027399473d2674e3854814eca3fb0a6,Indie
1027399473d2674e3854814eca3fb0a6,RPG
1027399473d2674e3854814eca3fb0a6,Turn Based Strategy
fdb110fe2c79496233b3ca519eae02db,Adventure
fdb110fe2c79496233b3ca519eae02db,Indie
fdb110fe2c79496233b3ca519eae02db,Platform
5ba1641c25337894178deb342dd87963,Adventure
5ba1641c25337894178deb342dd87963,Simulator
a0a89cfe2e9838a1872f5c4cb6f867e2,Adventure
a0a89cfe2e9838a1872f5c4cb6f867e2,Indie
a0a89cfe2e9838a1872f5c4cb6f867e2,RPG
a0a89cfe2e9838a1872f5c4cb6f867e2,Turn Based Strategy
4b4076af6469757e76c693b0f1d16a18,Adventure
4b4076af6469757e76c693b0f1d16a18,Platform
76890dd1ddc2496e42c18ea16da4970d,Indie
76890dd1ddc2496e42c18ea16da4970d,Strategy
9a893f15c0f62c52c0f236df048d0a1c,Brawler
9a893f15c0f62c52c0f236df048d0a1c,RPG
78f8a1e812c1cde6d586a5eeba9df7e2,Adventure
78f8a1e812c1cde6d586a5eeba9df7e2,RPG
78f8a1e812c1cde6d586a5eeba9df7e2,Turn Based Strategy
b4625248879e092f87b0ea6d0b9875db,Adventure
b4625248879e092f87b0ea6d0b9875db,Indie
6dd8768cd777f28875d3f23b8237ce78,Adventure
6dd8768cd777f28875d3f23b8237ce78,Brawler
6dd8768cd777f28875d3f23b8237ce78,RPG
5c55fadce58a7e1c6924d340299d20fa,Adventure
5c55fadce58a7e1c6924d340299d20fa,Platform
5c55fadce58a7e1c6924d340299d20fa,Puzzle
5c55fadce58a7e1c6924d340299d20fa,Shooter
