game_id,developer
050fb2a2878d8d86d11bb1d268b4b269,Capcom
050fb2a2878d8d86d11bb1d268b4b269,Capcom Production Studio 4
9d6579391002d3e09644a90504a46442,Square Enix
0e2312f84e01bc189d37cc77ca27b01d,Sega
0e2312f84e01bc189d37cc77ca27b01d,Sonic Team
68b9ef84a18802117f333536da33a48f,Devolver Digital
68b9ef84a18802117f333536da33a48f,Daniel Mullins Games
64c353eccfcc9ee06d5caeda7aa87063,Andrew Shouldice
64c353eccfcc9ee06d5caeda7aa87063,Finji
450b4e84441811a8ffa87988ba8ad4f3,FromSoftware
450b4e84441811a8ffa87988ba8ad4f3,Bandai Namco Entertainment
e1a90d4ccf0f3a54ca16922ee6b2efeb,Nintendo
e1a90d4ccf0f3a54ca16922ee6b2efeb,Nintendo EAD
edbe40f6bf1f29d56afd8b4489401bd9,8-4
edbe40f6bf1f29d56afd8b4489401bd9,tobyfox
b9e1291fb543964893deefe005fdac1b,Square
23e7f47a300d19f49301f93043f20b68,Konami Computer Entertainment Japan
23e7f47a300d19f49301f93043f20b68,Konami
032d772c9d0dd20fe8c8c148b0272413,Nintendo
032d772c9d0dd20fe8c8c148b0272413,Nintendo EAD
e5cc919647ec26f4b86be2e67969144f,Sony Interactive Entertainment
e5cc919647ec26f4b86be2e67969144f,Kojima Productions
a5f96ad339d507f90411f3fed1219df7,Insomniac Games
a5f96ad339d507f90411f3fed1219df7,Sony Interactive Entertainment
33bad662547c98943873cf2c4cf601a4,Bandai Namco Entertainment
33bad662547c98943873cf2c4cf601a4,QLOC
4f7ff063fdfca5f7d649a10c984ea514,Nintendo
4f7ff063fdfca5f7d649a10c984ea514,Creatures Inc.
1bc11155a82340f0ee58466e775f4c49,Konami
1bc11155a82340f0ee58466e775f4c49,Konami Computer Entertainment Tokyo
992ef809b2a37399835af6b7a5080848,Nintendo R&D1
992ef809b2a37399835af6b7a5080848,Nintendo
71fcc1c97fe8276ac7b42e077b95d553,Nintendo
71fcc1c97fe8276ac7b42e077b95d553,Nintendo R&D4
ffb747243d5a06237e0f2d39517fe369,Nintendo
ffb747243d5a06237e0f2d39517fe369,Nintendo EAD
41acec81864b561966aed107049d58c2,Respawn Entertainment
41acec81864b561966aed107049d58c2,Electronic Arts
1371f6d63a2a117ae31385749398fe07,Naughty Dog
1371f6d63a2a117ae31385749398fe07,Sony Computer Entertainment
b75ad1e3aa54ec164159ab2c8a0275bc,Re-Logic
b75ad1e3aa54ec164159ab2c8a0275bc,Headup Games
9b8ef963d1d38aa7e83a1bd3323031cd,Capcom
81d7f6d11280c25c274a9385566e32cd,Konami
81d7f6d11280c25c274a9385566e32cd,Kojima Productions
f344216e7c9bdee2efe688a603908d49,Blizzard Entertainment
f344216e7c9bdee2efe688a603908d49,Square Enix
30b237c15b2860621067cb7621648747,Sierra Entertainment
30b237c15b2860621067cb7621648747,Valve
ae7a0632a7d60617041332648a2df42b,"Intelligent Systems Co., Ltd."
ae7a0632a7d60617041332648a2df42b,Nintendo
9d6d7c397ad5e7ce2cfbdb3254ebe2d8,Rockstar Games
9d6d7c397ad5e7ce2cfbdb3254ebe2d8,Rockstar North
bc539258050d0ffccf2ea833fcf3b4f7,Vanillaware
bc539258050d0ffccf2ea833fcf3b4f7,Atlus USA
a8734db35e6f1c0cb91d280fc9cf8c9a,Atlus
a8734db35e6f1c0cb91d280fc9cf8c9a,Atlus USA
cd776bb540b497b64dab1cdad3fac234,Capcom Production Studio 4
cd776bb540b497b64dab1cdad3fac234,Capcom
a9f804a432ff9697cede746de94e948e,Nintendo of America
a9f804a432ff9697cede746de94e948e,Nintendo EPD
